Period,Total
Jan-10,7323
Feb-10,6456
Mar-10,8062
Apr-10,7407
May-10,7863
Jun-10,8576
Jul-10,9662
Aug-10,9170
Sep-10,7241
Oct-10,7501
Nov-10,6934
Dec-10,7711
Jan-11,7636
Feb-11,6672
Mar-11,8216
Apr-11,7924
May-11,8123
Jun-11,8736
Jul-11,9993
Aug-11,9233
Sep-11,7309
Oct-11,7299
Nov-11,6861
Dec-11,7815
Jan-12,7638
Feb-12,6952
Mar-12,8549
Apr-12,8080
May-12,8175
Jun-12,9007
Jul-12,9892
Aug-12,9441
Sep-12,7507
Oct-12,7351
Nov-12,7108
Dec-12,7977
Jan-13,7786
Feb-13,6982
Mar-13,8776
Apr-13,7995
May-13,8448
Jun-13,9330
Jul-13,10218
Aug-13,9858
Sep-13,7611
Oct-13,7661
Nov-13,7255
Dec-13,8368
Jan-14,8100
Feb-14,7150
Mar-14,8913
Apr-14,8442
May-14,8836
Jun-14,9579
Jul-14,10464
Aug-14,10050
Sep-14,7659
Oct-14,7619
Nov-14,7334
Dec-14,8486
Jan-15,8314
Feb-15,7235
Mar-15,8888
Apr-15,8461
May-15,8904
Jun-15,9700
Jul-15,10866
Aug-15,10388
Sep-15,7951
Oct-15,8050
Nov-15,7608
Dec-15,8760
Jan-16,8559
Feb-16,7571
Mar-16,9164
Apr-16,8558
May-16,8965
Jun-16,9962
Jul-16,11125
Aug-16,10222
Sep-16,8001
Oct-16,7999
Nov-16,7461
Dec-16,8922
Jan-17,8652
Feb-17,7415
Mar-17,9140
Apr-17,9314
May-17,9376
Jun-17,10442
Jul-17,11531
Aug-17,10708
Sep-17,7913
Oct-17,8235
Nov-17,7856
Dec-17,9089
Jan-18,8787
Feb-18,7807
Mar-18,9850
Apr-18,9274
May-18,9681
Jun-18,10874
Jul-18,11675
Aug-18,10795
Sep-18,8331
Oct-18,8550
Nov-18,8244
Dec-18,9313
Jan-19,9081
Feb-19,7986
Mar-19,10089
Apr-19,9625
May-19,10100
Jun-19,11210
Jul-19,11838
Aug-19,11163
Sep-19,8709